"age","death.rate","abs.death"
1,-0.372340425531915,0.372340425531915
1,-0.350877192982456,0.350877192982456
1,-0.358974358974359,0.358974358974359
1,-0.199074074074074,0.199074074074074
1,-0.385474860335196,0.385474860335196
1,-0.416326530612245,0.416326530612245
1,-0.38368580060423,0.38368580060423
1,-0.346153846153846,0.346153846153846
1,-0.391143911439114,0.391143911439114
1,-0.5,0.5
1,-0.361990950226244,0.361990950226244
1,-0.408071748878924,0.408071748878924
2,-0.220338983050847,0.220338983050847
2,-0.306306306306306,0.306306306306306
2,-0.2,0.2
2,-0.364161849710983,0.364161849710983
2,-0.290909090909091,0.290909090909091
2,-0.356643356643357,0.356643356643357
2,-0.274509803921569,0.274509803921569
2,-0.288235294117647,0.288235294117647
2,-0.339393939393939,0.339393939393939
2,-0.403846153846154,0.403846153846154
2,-0.375886524822695,0.375886524822695
3,-0.152173913043478,0.152173913043478
3,-0.155844155844156,0.155844155844156
3,-0.283333333333333,0.283333333333333
3,-0.290909090909091,0.290909090909091
3,-0.41025641025641,0.41025641025641
3,-0.25,0.25
3,-0.216216216216216,0.216216216216216
3,-0.305785123966942,0.305785123966942
3,-0.339449541284404,0.339449541284404
3,-0.279569892473118,0.279569892473118
4,-0.094017094017094,0.094017094017094
4,-0.246153846153846,0.246153846153846
4,-0.348837209302326,0.348837209302326
4,-0.346153846153846,0.346153846153846
4,-0.152173913043478,0.152173913043478
4,-0.217391304347826,0.217391304347826
4,-0.387931034482759,0.387931034482759
4,-0.261904761904762,0.261904761904762
4,-0.291666666666667,0.291666666666667
5,-0.132075471698113,0.132075471698113
5,-0.204081632653061,0.204081632653061
5,-0.214285714285714,0.214285714285714
5,-0.254901960784314,0.254901960784314
5,-0.128205128205128,0.128205128205128
5,-0.351851851851852,0.351851851851852
5,-0.211267605633803,0.211267605633803
5,-0.354838709677419,0.354838709677419
6,-0.282608695652174,0.282608695652174
6,-0.230769230769231,0.230769230769231
6,-0.136363636363636,0.136363636363636
6,-0.31578947368421,0.31578947368421
6,-0.294117647058824,0.294117647058824
6,-0.228571428571429,0.228571428571429
6,-0.214285714285714,0.214285714285714
7,-0.303030303030303,0.303030303030303
7,-0.266666666666667,0.266666666666667
7,-0.31578947368421,0.31578947368421
7,-0.192307692307692,0.192307692307692
7,-0.25,0.25
7,-0.222222222222222,0.222222222222222
8,-0.130434782608696,0.130434782608696
8,-0.181818181818182,0.181818181818182
8,-0.461538461538462,0.461538461538462
8,-0.238095238095238,0.238095238095238
8,-0.388888888888889,0.388888888888889
9,-0.275,0.275
9,-0.277777777777778,0.277777777777778
9,-0.285714285714286,0.285714285714286
9,-0.125,0.125
10,-0.275862068965517,0.275862068965517
10,-0.0769230769230769,0.0769230769230769
10,-0.2,0.2
11,-0.285714285714286,0.285714285714286
11,-0.333333333333333,0.333333333333333
12,-0.266666666666667,0.266666666666667
